call_id,caller,receiver,timestamp,duration_seconds,call_type,cell_tower,location,case_id,source_document
CDR-SYN-001,+919811223344,+919876500112,2024-07-15 10:14:22,185,OUTGOING,OKHLA-T4B,Okhla Industrial Area,FIR-2024-311,subpoena_telco_batch_01.csv
CDR-SYN-002,+919876500112,+919811223344,2024-07-15 11:32:05,420,INCOMING,OKHLA-T4B,Okhla Industrial Area,FIR-2024-311,subpoena_telco_batch_01.csv
CDR-SYN-003,+919811223344,+919876500112,2024-07-15 14:05:50,90,OUTGOING,SEC18-NOIDA-T2,Sector 18 Commercial Complex,FIR-2024-311,subpoena_telco_batch_01.csv
CDR-SYN-004,+919876500112,+919988776655,2024-07-15 16:45:12,310,OUTGOING,CHANDNI-T1,Chandni Chowk Bullion Market,FIR-2024-405,subpoena_telco_batch_01.csv
CDR-SYN-005,+919988776655,+919876500112,2024-07-15 18:20:00,0,MISSED,CHANDNI-T1,Chandni Chowk Bullion Market,FIR-2024-405,subpoena_telco_batch_01.csv
CDR-SYN-006,+919876500112,+919988776655,2024-07-15 18:22:15,620,OUTGOING,SEC18-NOIDA-T2,Sector 18 Commercial Complex,FIR-2024-405,subpoena_telco_batch_01.csv
CDR-SYN-007,+919811223344,+919876500112,2024-07-15 21:05:40,55,OUTGOING,OKHLA-T4B,Okhla Industrial Area,FIR-2024-311,subpoena_telco_batch_01.csv
CDR-SYN-008,+919876500112,+919811223344,2024-07-16 07:15:10,130,OUTGOING,OKHLA-T4B,Okhla Industrial Area,FIR-2024-311,subpoena_telco_batch_01.csv
CDR-SYN-009,+919876500112,+919911002233,2024-07-16 07:22:30,45,OUTGOING,OKHLA-T4B,Okhla Industrial Area,FIR-2024-311,subpoena_telco_batch_01.csv
CDR-SYN-010,+919911002233,+919876500112,2024-07-16 07:35:12,85,INCOMING,OKHLA-T4B,Okhla Industrial Area,FIR-2024-311,subpoena_telco_batch_01.csv
CDR-SYN-011,+919876500112,+919811223344,2024-07-16 07:42:00,15,OUTGOING,OKHLA-T4B,Okhla Industrial Area,FIR-2024-311,subpoena_telco_batch_01.csv
CDR-SYN-012,+919876500112,+919822334455,2024-07-16 07:50:18,60,OUTGOING,OKHLA-T4B,Okhla Industrial Area,FIR-2024-311,subpoena_telco_batch_01.csv
CDR-SYN-013,+919822334455,+919876500112,2024-07-16 08:02:44,110,INCOMING,OKHLA-T4B,Okhla Industrial Area,FIR-2024-311,subpoena_telco_batch_01.csv
CDR-SYN-014,+919876500112,+919811223344,2024-07-16 08:15:00,340,OUTGOING,OKHLA-T4B,Okhla Industrial Area,FIR-2024-311,subpoena_telco_batch_01.csv
CDR-SYN-015,+919876500112,+919933445566,2024-07-16 08:30:20,0,MISSED,OKHLA-T4B,Okhla Industrial Area,FIR-2024-311,subpoena_telco_batch_01.csv
CDR-SYN-016,+919876500112,+919933445566,2024-07-16 08:32:05,95,OUTGOING,OKHLA-T4B,Okhla Industrial Area,FIR-2024-311,subpoena_telco_batch_01.csv
CDR-SYN-017,+919933445566,+919876500112,2024-07-16 08:45:50,40,INCOMING,OKHLA-T4B,Okhla Industrial Area,FIR-2024-311,subpoena_telco_batch_01.csv
CDR-SYN-018,+919876500112,+919811223344,2024-07-16 09:05:12,180,OUTGOING,OKHLA-T4B,Okhla Industrial Area,FIR-2024-311,subpoena_telco_batch_01.csv
CDR-SYN-019,+919811223344,+919876500112,2024-07-16 09:25:30,220,OUTGOING,OKHLA-T4B,Okhla Industrial Area,FIR-2024-311,subpoena_telco_batch_01.csv
CDR-SYN-020,+919876500112,+919844556677,2024-07-16 09:40:11,50,OUTGOING,OKHLA-T4B,Okhla Industrial Area,FIR-2024-311,subpoena_telco_batch_01.csv
CDR-SYN-021,+919811223344,+919988776655,2024-07-16 14:10:00,750,OUTGOING,CHANDNI-T1,Chandni Chowk Bullion Market,FIR-2024-405,subpoena_telco_batch_01.csv
CDR-SYN-022,+919988776655,+919811223344,2024-07-16 17:30:45,580,INCOMING,CHANDNI-T1,Chandni Chowk Bullion Market,FIR-2024-405,subpoena_telco_batch_01.csv
CDR-SYN-023,+919811223344,+919876500112,2024-07-16 22:15:00,240,OUTGOING,OKHLA-T4B,Okhla Industrial Area,FIR-2024-311,subpoena_telco_batch_01.csv
CDR-SYN-024,+919876500112,+919811223344,2024-07-17 08:30:00,120,OUTGOING,KASHMERE-T3,ISBT Kashmere Gate,FIR-2024-311,subpoena_telco_batch_01.csv
CDR-SYN-025,+919876500112,+919855667788,2024-07-17 11:00:25,75,OUTGOING,KASHMERE-T3,ISBT Kashmere Gate,FIR-2024-311,subpoena_telco_batch_01.csv
CDR-SYN-026,+919855667788,+919876500112,2024-07-17 11:15:10,0,MISSED,KASHMERE-T3,ISBT Kashmere Gate,FIR-2024-311,subpoena_telco_batch_01.csv
CDR-SYN-027,+919811223344,+919876500112,2024-07-17 19:45:00,310,OUTGOING,SEC18-NOIDA-T2,Sector 18 Commercial Complex,FIR-2024-311,subpoena_telco_batch_01.csv
CDR-SYN-028,+919876500112,+919811223344,2024-07-18 10:20:15,165,OUTGOING,SEC18-NOIDA-T2,Sector 18 Commercial Complex,FIR-2024-311,subpoena_telco_batch_01.csv
